Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.05,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.000e+01,-0.002,0.01,-7.4,-7.4
-9.996e+00,-0.002,-0.01,-7.4,-7.8
-9.992e+00,-0.002,0.008,-7.6,-7.4
-9.988e+00,-0.002,-0.01,-7.6,-7.8
-9.985e+00,-0.002,0.006,-7.6,-7.4
-9.981e+00,-0,-0.008,-7.6,-7.8
-9.977e+00,-0.002,0.006,-7.6,-7.4
-9.973e+00,-0.002,-0.008,-7.6,-7.8
-9.969e+00,-0.002,0.006,-7.6,-7.4
-9.965e+00,-0.002,-0.008,-7.6,-7.8
-9.962e+00,-0,0.006,-7.6,-7.4
-9.958e+00,-0.002,-0.008,-7.6,-7.8
-9.954e+00,-0.002,0.006,-7.6,-7.4
-9.950e+00,-0,-0.008,-7.6,-7.8
-9.946e+00,-0.002,0.008,-7.6,-7.4
-9.942e+00,-0,-0.01,-7.6,-7.8
-9.939e+00,-0.002,0.006,-7.6,-7.4
-9.935e+00,-0,-0.008,-7.6,-7.8
-9.931e+00,-0.002,0.006,-7.6,-7.4
-9.927e+00,-0.002,-0.01,-7.6,-7.8
-9.923e+00,-0,0.006,-7.6,-7.4
-9.919e+00,-0,-0.01,-7.6,-7.8
-9.916e+00,-0,0.006,-7.6,-7.4
-9.912e+00,-0.002,-0.01,-7.6,-7.8
-9.908e+00,-0,0.006,-7.6,-7.4
-9.904e+00,-0,-0.008,-7.6,-7.8
-9.900e+00,-0.002,0.006,-7.6,-7.4
-9.896e+00,-0.002,-0.008,-7.6,-7.8
-9.892e+00,-0.002,0.01,-7.6,-7.4
-9.889e+00,-0,-0.01,-7.6,-7.8
-9.885e+00,-0.002,0.006,-7.6,-7.4
-9.881e+00,-0.002,-0.008,-7.6,-7.8
-9.877e+00,-0.002,0.008,-7.6,-7.4
-9.873e+00,-0,-0.012,-7.6,-7.8
-9.869e+00,-0.002,0.008,-7.6,-7.4
-9.866e+00,-0.004,-0.01,-7.6,-7.8
-9.862e+00,-0,0.006,-7.6,-7.4
-9.858e+00,-0.002,-0.008,-7.6,-7.8
-9.854e+00,-0.002,0.008,-7.6,-7.4
-9.850e+00,-0.002,-0.008,-7.6,-7.8
-9.846e+00,-0,0.008,-7.6,-7.4
-9.843e+00,-0,-0.01,-7.6,-7.8
-9.839e+00,-0.004,0.008,-7.6,-7.4
-9.835e+00,-0,-0.01,-7.6,-7.8
-9.831e+00,-0.002,0.006,-7.8,-7.4
-9.827e+00,-0.002,-0.008,-7.6,-7.8
-9.823e+00,-0.002,0.006,-7.6,-7.4
-9.820e+00,-0.002,-0.008,-7.6,-7.8
-9.816e+00,-0,0.006,-7.6,-7.4
-9.812e+00,-0.002,-0.008,-7.6,-8
-9.808e+00,-0.002,0.006,-7.8,-7.4
-9.804e+00,-0,-0.008,-7.6,-7.8
-9.800e+00,-0.002,0.006,-7.6,-7.4
-9.796e+00,-0.002,-0.008,-7.6,-7.8
-9.793e+00,-0.004,0.006,-7.6,-7.6
-9.789e+00,-0,-0.01,-7.8,-8
